"Time (EpDay)","Altitude_Of_Apoapsis (km)"
0.20116493,35772.355606
0.63544162,35454.732129
1.06548335,35138.693172
1.49135307,34825.349291
1.91309162,34514.869163
2.33075329,34208.204239
2.74443427,33906.820599
3.15419302,33610.958892
3.56013776,33321.270130
3.96234345,33037.779898
4.36090653,32760.911619
4.75594446,32490.775117
5.14753330,32227.363375
5.53578462,31970.709078
5.92077665,31720.381254
6.30259893,31476.221755
6.68135938,31238.247368
7.05711522,31005.923627
7.42996115,30778.848210
7.79995631,30555.953431
8.16715844,30336.938069
8.53162959,30121.758648
8.89340678,29909.624924
9.25253113,29699.863648
9.60905649,29492.293146
9.96298782,29286.141808
10.31435280,29081.071350
10.66318346,28876.529200
11.00946707,28672.007876
11.35322055,28467.361704
11.69444921,28261.937191
12.03313465,28055.626774
12.36928390,27848.454956
12.70289042,27640.122807
13.03393839,27430.890486
13.36243509,27221.071906
13.68838028,27010.777872
14.01176761,26800.485776
14.33261592,26590.801592
14.65094460,26382.035546
14.96676049,26174.643274
15.28009625,25969.343041
15.59099715,25766.395682
15.89948130,25566.035506
16.20559079,25368.554080
16.50938218,25174.324183
16.81088322,24983.417637
17.11014343,24795.677040
17.40721282,24611.435475
17.70212885,24430.396566
17.99493428,24252.736182
18.28567739,24078.651425
18.57441027,23907.817887
18.86116184,23739.991357
19.14597306,23574.967728
19.42889147,23412.739653
19.70994031,23252.818203
19.98915102,23095.212650
20.26655569,22940.075379
20.54219233,22786.972697
20.81607566,22635.752205
21.08823285,22486.003439
21.35868998,22337.825767
21.62746250,22191.000839
21.89456408,22045.436369
22.16001486,21901.055294
22.42384100,21757.733254
22.68604575,21615.195938
22.94664154,21473.488409
23.20564116,21332.685223
23.46306793,21192.598696
23.71892029,21053.118868
23.97321088,20914.126295
24.22594767,20775.887182
24.47715012,20638.204770
24.72681690,20501.036748
24.97495977,20364.207515
25.22158464,20228.029161
25.46670935,20092.334713
25.71033247,19957.088564
25.95246459,19822.240701
26.19311174,19688.019900
26.43229308,19554.324778
26.67000713,19421.025427
26.90626216,19288.212686
27.14106678,19155.997394
27.37443875,19024.367622
27.60638005,18893.297895
27.83689763,18762.845883
28.06600276,18632.929487
28.29371015,18503.729608
28.52002708,18375.391192
28.74496204,18247.849699
28.96852915,18120.987138
29.19073699,17995.148466
29.41160591,17870.162408
29.63114023,17745.952707
29.84935088,17622.609048
30.06625056,17500.060571
30.28185634,17378.441941
30.49617733,17257.899250
30.70922418,17138.369518
30.92101221,17019.730463
31.13155100,16902.189013
31.34086202,16785.648126
31.54895308,16670.174163
31.75583566,16555.724189
31.96152489,16442.171302
32.16603101,16329.821734
32.36937454,16218.520696
32.57156314,16108.214789
32.77260829,15998.916864
32.97252436,15890.497304
33.17132209,15783.250213
33.36901986,15677.023540
33.56562540,15571.750555
33.76114968,15467.446940
33.95560624,15363.974626
34.14900430,15261.619280
34.34136220,15160.219429
34.53268729,15059.749674
34.72298959,14960.225297
34.91228195,14861.487497
35.10057177,14763.671721
35.28787613,14666.659198
35.47420140,14570.574192
35.65955652,14475.291810
35.84395212,14380.763860
36.02739615,14286.867908
36.20990089,14193.715786
36.39147419,14101.381971
36.57212289,14009.658925
36.75185460,13918.597297
36.93067837,13828.013584
37.10859897,13738.150673
37.28562990,13648.872216
37.46177534,13560.273076
37.63704171,13472.204899
37.81143625,13384.642133
37.98496470,13297.420543
38.15763414,13210.778751
38.32945275,13124.691934
38.50042468,13039.087745
38.67055533,12953.980940
38.83985154,12869.249074
39.00831667,12784.786581
39.17595848,12700.760266
39.34278210,12617.193975
39.50879107,12534.003766
39.67399009,12451.205789
39.83838472,12368.701282
40.00197750,12286.412353
40.16477537,12204.486772
40.32678292,12122.986083
40.48800346,12041.835171
40.64844124,11961.037183
40.80810126,11880.508728
40.96698623,11800.106012
41.12510071,11720.090318
41.28245102,11640.459408
41.43904002,11561.215658
41.59487172,11482.235636
41.74995028,11403.563175
41.90427951,11324.999057
42.05786114,11246.811778
42.21070349,11168.930551
42.36280888,11091.495197
42.51418140,11014.331518
42.66482532,10937.559056
42.81474527,10861.091138
42.96394414,10784.798809
43.11242707,10708.950923
43.26020044,10633.552993
43.40726782,10558.600026
43.55363371,10483.941104
43.69930269,10409.699404
43.84427904,10335.687611
43.98856516,10261.969227
44.13216779,10188.706420
44.27509231,10115.961139
44.41734294,10043.671720
44.55892459,9971.698458
44.69984188,9900.194315
44.84009916,9828.886396
44.97969869,9757.898238
45.11864704,9687.351307
45.25694953,9617.328043
45.39461037,9547.772094
45.53163438,9478.513490
45.66802616,9409.731917
45.80378977,9341.214114
45.93892802,9272.898094
46.07344542,9205.039258
46.20734840,9137.610581
46.34064021,9070.650938
46.47332529,9003.981901
46.60540806,8937.742207
46.73689270,8871.894719
46.86778264,8806.115945
46.99807980,8740.708605
47.12779041,8675.646833
47.25691830,8611.078916
47.38546730,8546.902908
47.51344171,8482.943539
47.64084542,8419.459716
47.76768174,8356.183049
47.89395301,8292.958242
48.01966155,8230.104869
48.14481303,8167.552345
48.26941031,8105.445049
48.39345693,8043.648220
48.51695673,7982.033418
48.63991316,7920.867258
48.76232881,7859.837135
48.88420559,7798.822041
49.00554541,7738.120672
49.12635315,7677.678056
49.24663153,7617.636553
49.36638353,7557.881320
49.48561253,7498.238080
49.60432168,7439.005233
49.72251331,7379.953922
49.84018915,7320.812883
49.95735000,7261.900453
50.07399966,7203.224500
50.19014170,7144.894882
50.30577823,7086.831120
50.42091189,7028.881367
50.53554563,6971.119200
50.64968186,6913.717373
50.76332188,6856.242708
50.87646637,6798.716781
50.98911665,6741.434695
51.10127638,6684.320381
51.21294777,6627.537815
51.32413293,6570.963255
51.43483430,6514.404283
51.54505439,6458.080866
51.65479499,6402.013386
51.76405678,6345.818338
51.87284022,6289.527537
51.98114618,6233.437673
52.08897771,6177.480986
52.19633684,6121.815051
52.30322525,6066.321457
52.40964495,6010.802497
52.51559807,5955.405141
52.62108626,5900.334994
52.72610991,5845.113925
52.83066914,5789.664458
52.93476391,5734.362106
53.03839618,5679.113874
53.14156843,5624.105768
53.24428172,5569.251512
53.34653754,5514.455173
53.44833772,5459.550480
53.54968399,5404.966222
53.65057696,5350.424247
53.75101640,5295.611712
53.85100185,5240.613758
53.95053333,5185.722109
54.04961254,5130.848339
54.14824123,5076.186615
54.24642020,5021.600778
54.34415042,4966.988556
54.44143331,4912.207543
54.53827018,4857.730643
54.63466112,4803.225600
54.73060535,4748.387403
54.82610193,4693.250187
54.92115020,4638.163228
55.01575080,4582.984129
55.10990531,4527.967711
55.20361413,4472.966074
55.29687767,4417.962268
55.38969663,4362.685974
55.48207182,4307.401575
55.57400351,4252.310351
55.66549028,4196.861885
55.75653064,4140.950352
55.84712297,4084.831552
55.93726633,4028.572879
56.02696083,3972.212239
56.11620717,3915.909338
56.20500497,3859.476640
56.29335371,3802.905100
56.38125324,3745.934097
56.46870352,3688.848382
56.55570397,3631.827304
56.64225202,3574.303166
56.72834509,3516.168981
56.81398045,3457.545991
56.89915559,3398.692811
56.98386884,3339.443484
57.06811976,3280.110073
57.15190703,3220.476900
57.23522885,3160.538041
57.31808300,3100.058875
57.40046772,3038.970728
57.48238138,2977.761685
57.56382079,2916.005817
57.64478068,2853.359025
57.72525589,2789.747495
57.80524125,2725.294549
57.88473137,2660.136660
57.96372123,2594.128504
58.04220719,2527.580593
58.12018484,2460.198504
58.19764853,2391.857534
58.27459134,2322.398736
58.35100659,2251.571395
58.42688715,2179.466917
58.50222493,2106.221283
58.57700822,2030.920918
58.65122300,1953.395370
58.72485454,1873.322469
58.79788654,1790.608032
58.87030027,1704.880360
58.94207465,1615.762244
59.01318777,1523.042056
59.08361366,1425.597704
59.15331874,1322.004990
59.22225937,1210.527190
59.29037917,1088.207894
59.35760265,950.201990
59.42381945,786.226324
59.48884118,564.092993
59.55226676,132.836165
59.55434812,128.999519

